gsn,drug_concept_id,drug_source_concept_id
000042,40037066,40037066
000070,19126587,19126587
000168,40033702,40033702
000234,40165222,40165222
000276,40174769,40174769
000344,40223154,40223154
000374,974169,974169
000457,19079084,19079084
000569,19019310,19019310
000575,19133622,19133622
000630,1307542,19011903
000643,1396638,1396638
000652,919986,46274159
000780,19058971,19058971
001060,1592332,1592331
001103,19069022,19069022
001105,19023184,19023184
001148,984801,984801
001417,702685,702685
001531,19108292,19108292
001545,1110410,1110410
001559,1124957,19132955
001571,19059528,19026841
001630,759401,759401
001722,1158632,46274178
001754,19019094,19135897
001796,19003108,19003108
001889,915841,915841
001916,19044747,19044747
001924,19088340,19088340
001933,19030673,19030673
002042,19008461,19008461
002163,19073620,19073620
002176,1518254,19055211
002213,942691,942691
002348,19057037,19057037
002416,19017671,19017671
002483,42900072,42900072
002514,43012271,43012271
002615,19039029,19039029
002620,19007681,19007681
002633,1301267,1301267
002672,1351779,19125194
002879,45775550,940004
002882,1797513,1797513
003030,40082463,40082463
003106,19108445,19108445
003231,19075118,19075118
003315,19127901,19127901
003321,19057163,19057163
003480,917011,917011
003526,800878,800878
003612,1331235,1331235
003633,751412,751412
003796,19007595,19007595
003860,19019856,19019856
003936,19022533,19132905
003955,19072083,19072083
003985,19046037,19046037
004031,19035226,19035226
004384,19073677,19073677
004419,19107289,19107289
004471,19108460,19108460
004501,1363749,1363749
004667,719174,719174
004681,778765,778765
004923,19126894,19126894
004936,711452,936519
004938,1500211,1500211
005011,1353011,1353011
005089,1746244,1746244
005164,40177103,40177103
005199,1134804,1134804
005294,19136481,19136481
005351,19055843,19055843
005531,19008106,19008106
005586,19068433,19055957
005654,794147,19056040
005888,19108499,19108499
006025,954036,19056218
006064,1153428,19056244
006093,923540,778777
006313,976780,976780
006341,19078014,19078014
006364,19018438,19018438
006366,43012250,43012250
006533,19034281,19056449
006589,19079139,19079139
006674,991710,19052430
006753,1551192,1551192
006805,19019893,19019893
006892,19134009,19134009
006941,1597235,1597235
006947,42903925,42903925
007055,43012215,43012215
007071,19056671,19056671
007138,19018640,19056702
007188,19012199,19012199
007216,1303339,1303339
007289,19092065,19092065
